Type,MCM_Species,MCM_C_number,MOZART_species,MOZART_C_number,MCM_Emissions_(molecules/cm2/s),MOZART_Emissions_(molecules/cm2/s)
,HEX2ONE,6,MEK,4,6.90E+06,1.04E+07
,HEX3ONE,6,MEK,4,6.90E+06,1.04E+07
,MIBK,6,MEK,4,6.25E+08,9.38E+08
,MTBK,6,MEK,4,6.90E+06,1.04E+07
,CYHEXONE,6,MEK,4,6.64E+07,9.97E+07
Terpenes,APINENE,10,C10H16,10,3.91E+08,3.91E+08
,BPINENE,10,C10H16,10,3.91E+08,3.91E+08
,LIMONENE,10,C10H16,10,4.61E+08,4.61E+08
Esters,METHACET,3,BIGALK,5,6.18E+07,3.71E+07
,ETHACET,4,BIGALK,5,1.39E+09,1.11E+09
,NBUTACET,6,BIGALK,5,9.65E+08,1.16E+09
,IPROACET,5,BIGALK,5,3.40E+08,3.40E+08
,CH3OCHO,5,BIGALK,5,6.93E+06,6.93E+06
,NPROACET,5,BIGALK,5,1.33E+08,1.33E+08
Ethers,CH3OCH3,2,BIGALK,5,3.54E+08,1.42E+08
,DIETETHER,4,BIGALK,5,1.11E+08,8.92E+07
,MTBE,5,BIGALK,5,1.76E+07,1.76E+07
,DIIPRETHER,6,BIGALK,5,9.56E+07,1.15E+08
,ETBE,6,BIGALK,5,1.52E+07,1.82E+07
,MO2EOL,3,BIGALK,5,1.14E+08,6.86E+07
,EOX2EOL,4,BIGALK,5,9.66E+07,7.73E+07
,PR2OHMOX,4,BIGALK,5,1.76E+08,1.41E+08
,BUOX2ETOH,6,BIGALK,5,7.75E+08,9.30E+08
,BOX2PROL,7,BIGALK,5,1.17E+07,1.64E+07
Chlorinated_Hydrocarbons,CH2CL2,1,BIGALK,5,7.92E+08,1.58E+08
,CH3CH2CL,2,BIGALK,5,1.36E+08,5.42E+07
,CH3CCL3,2,BIGALK,5,4.31E+08,1.73E+08
,TRICLETH,2,BIGALK,5,1.04E+09,4.17E+08
,CDICLETH,2,BIGALK,5,4.58E+07,1.83E+07
,TDICLETH,2,BIGALK,5,4.56E+07,1.82E+07
,CH3CL,1,BIGALK,5,1.39E+08,2.77E+07
,CCL2CH2,2,BIGALK,5,4.51E+07,1.80E+07
,CHCL2CH3,2,BIGALK,5,5.35E+05,2.14E+05
,VINCL,2,BIGALK,5,4.20E+07,1.68E+07
,TCE,2,BIGALK,5,2.48E+08,9.91E+07
,CHCL3,1,BIGALK,5,2.93E+07,5.86E+06
Total,,,,,,4.94E+11
